timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,987884,2,1112660,2,974144,2
60,1801928,6,1006796,0,977972,0
120,1641284,2,1478828,2,1359716,2
180,1664384,1,1403192,2,1861844,3
240,1891028,1,1661780,2,1866992,3
300,2026856,1,2529284,3,2684996,2
360,2958644,2,2843708,2,3273580,2
420,3739300,2,2275692,2,3743368,2
480,2858152,1,1571472,3,1343480,2
540,2458324,1,1831644,3,1760600,2
600,3157132,1,1455444,2,1496204,3
660,2806804,1,1700172,3,1600220,2
720,3450832,1,2267508,3,2335856,2
780,3102576,1,1724020,2,2507588,3
840,3732344,1,1391496,2,1743836,3
900,3719668,1,1483468,2,1658960,3
960,3719668,1,1483468,2,1658960,3
1020,3734912,1,1533892,1,1769312,4
1080,3740496,1,1198084,1,2025524,4
1140,3740496,1,1198084,1,2025524,4
1200,1179248,1,1712376,2,1561280,3
1260,1404572,2,1446528,2,1662392,2
1320,1200500,1,1637136,2,1493696,3
1380,1121696,1,1495300,3,1666220,2
1440,1123940,1,1881344,3,1555340,2
1500,1393220,2,1790264,2,2556428,2
1560,1047536,2,1092512,2,1809308,2
1620,1001972,1,1093832,2,1106936,3
1680,1063484,2,1089872,2,1063376,2
1740,1050152,2,1099772,2,1061528,2
1800,1058600,2,1092248,2,1070108,2
