timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,958152,133763217,5,957128,132560686,5,958220,133907409,5,956320,120747131
60,5,1485880,879936359,5,1315796,574849225,5,1479416,965362463,5,1523320,1080042945
120,5,1441304,1191437639,4,1405288,1028206989,6,1489052,1216194563,5,1472780,1121945067
180,5,1450716,1216807090,5,1365688,1076759927,5,1474864,1236290297,5,1466180,1078695512
240,5,1391052,1185711025,5,1418004,1116652377,5,1422196,1111340241,5,1507760,1233614505
300,5,1387224,1104352875,5,1458832,1240398603,6,1509844,1177386246,4,1461428,1119178882
360,5,1414416,1089425100,5,1435468,1165589872,5,1516444,1088424700,5,1439072,1231027114
420,6,1475532,1123747111,4,1453420,1160007212,4,1461796,1117537696,6,1459280,1145014521
480,4,1430568,1176388399,5,1432564,1102186060,7,1555252,1239800028,4,1480136,1168994090
540,4,1438356,1121380773,5,1477444,1175032848,6,1485820,1190297808,5,1349720,1134890007
600,5,1469376,1130669254,6,1443652,1223125840,4,1468528,1200986863,5,1438820,1145064511
660,6,1495380,1196353375,5,1460284,1134082967,4,1440544,1168870848,5,1376272,1226435134
720,5,1468532,1211689119,5,1433752,1196099247,5,1418784,1121951688,5,1464184,1098429010
780,5,1437512,1132241171,5,1470184,1144757023,5,1465248,1199536586,5,1445176,1243416107
840,5,1502324,1179574189,4,1436656,1128196936,6,1512240,1157895527,5,1463392,1200964273
900,5,1422992,1177532295,5,1529056,1188765769,5,1496796,1188360700,5,1460224,1102089617
960,4,1480544,1165051662,6,1493324,1139900223,4,1468584,1198259346,6,1480552,1179094708
1020,6,1430648,1160415425,4,1423924,1154586986,5,1501188,1190909963,5,1456820,1280774931
1080,5,1472492,1173964646,5,1479892,1132058949,4,1440204,1117333590,6,1575092,1206013232
1140,6,1516580,1074911539,4,1434564,1069473566,6,1470432,1343400890,4,1408088,1190767905
1200,6,1498628,1118054644,5,1498980,1164761527,5,1345560,1132695325,4,1490852,1259304853
1260,5,1506416,1225917586,5,1477464,1180055351,5,1514256,1180938958,5,1438316,1153037836
1320,5,1507736,1192410944,5,1478388,1211530603,5,1398756,1144641129,5,1430000,1195307021
1380,5,1491104,1141342619,4,1453176,1117848237,5,1423176,1184460182,6,1515140,1189894850
1440,4,1435928,1142472169,6,1440636,1182212040,5,1478352,1209969198,5,1474088,1121762636
1500,5,1489652,1156541779,5,1505316,1170372884,5,1487812,1164025969,5,1515404,1144217681
1560,5,1436324,1109665964,5,1457796,1093897113,5,1499692,1176208346,5,1503128,1235839310
1620,5,1466816,1194114315,6,1448556,1109347243,4,1440688,1092446712,5,1515668,1247205897
1680,5,1455728,1172902414,5,1458324,1198655395,5,1474744,1175860276,5,1489268,1116451393
1740,6,1483232,1194533594,4,1426908,1114087858,5,1473688,1135535191,5,1486100,1227646489
1800,5,1468052,1080870440,4,1454364,1171800326,6,1565428,1264440434,5,1391324,1181685702
