timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1375112,410067117,3,1493532,636576193,2,1451120,499444338,3,1345728,414145467
60,2,1365344,384546941,3,1506072,616921056,2,1403336,453403446,3,1410408,452031308
120,3,1448504,545904407,3,1450192,644486273,2,1403492,559658145,2,1385460,557272989
180,3,1351388,519991346,2,1404124,576407578,3,1461176,535050222,2,1395096,451185670
240,2,1368416,511830894,3,1406012,563579274,2,1394780,457781223,3,1485912,620906108
300,2,1354820,443873610,2,1391092,507124590,4,1481636,559851239,2,1436016,574469498
360,3,1389008,559444221,3,1407856,534061953,2,1420652,559705296,2,1407900,504477144
420,2,1437980,483680088,4,1413400,492210225,2,1417616,552123792,2,1424136,562582739
480,2,1387952,521097417,4,1480728,561303366,2,1405076,514595089,2,1425588,547053653
540,2,1396796,454395669,4,1430636,460519446,2,1440980,481689095,2,1408032,489798679
600,4,1414088,526927255,2,1352492,457026904,2,1448108,468585767,2,1390344,527131734
