timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1219132,28020034,3,1223716,43221532,2,1208164,51895930,3,1238548,67514579
60,2,1276024,66095909,3,1291960,80875846,2,1255684,69778766,3,1253728,51231830
120,1,1300576,67763583,2,1305292,103711921,2,1274560,83609917,1,1241056,112325189
180,0,1265332,100912631,3,1356112,211856933,0,1295284,88375378,2,1312948,211288057
240,1,1264408,148528246,1,1355056,206097178,2,1235224,160660612,1,1335256,277100284
300,1,1368556,243430503,1,1296316,292739821,2,1305976,141249738,3,1244572,97051454
360,1,1367368,262896851,1,1363768,349938104,1,1295152,136029170,3,1319548,125039504
420,1,1357204,340883427,1,1321528,345049606,2,1262152,128667025,3,1282324,126615119
480,2,1420828,411513236,2,1362448,324456793,1,1309012,117789650,2,1313872,105249707
540,1,1426240,395737550,0,1341724,291568621,1,1254100,195664242,4,1345156,184769735
600,1,1324336,245549722,1,1273612,322968832,1,1372900,341754161,5,1446224,292722882
