timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,978760,4,1121092,4,1135792,4
60,1429012,4,1578208,4,1654816,4
120,1554412,4,1923784,4,1803712,4
180,1947796,4,2161384,4,1826416,4
240,2164672,4,2443028,4,1833544,4
300,2153164,4,1977512,4,1799752,4
360,2446996,4,2156900,4,2003956,4
420,2800592,4,2200328,4,1943500,4
480,2512488,3,2242304,5,1804372,4
540,3005028,3,2420900,4,1813480,5
600,2413140,1,2305796,5,2327884,6
660,3352188,1,2428480,5,2879380,6
720,2693744,1,3477328,6,3721100,5
