timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1088816,168250334,5,1053940,196617988,5,1078668,98648457,5,1136740,225624419
60,5,1096076,619508335,5,1061596,753425596,5,1089492,531847156,5,1140040,834592483
120,4,1081852,657905428,3,1057108,819546948,5,1110480,558571731,4,1133968,923540083
180,3,1070632,654229410,6,1071100,791194787,5,1115760,671217356,6,1146508,710510046
240,5,1109428,594767038,5,1063576,859203835,5,1091208,764279592,5,1134100,666492799
300,5,1105420,830215735,4,1045096,711842352,4,1080912,667494875,7,1157728,674791654
360,3,1094860,811439333,6,1069120,628385030,6,1103484,654626425,5,1140040,787134703
420,3,1079948,646795535,5,1066744,761548712,6,1102296,724460895,6,1152052,770588738
480,4,1100936,679611216,5,1078624,688402370,6,1112064,819479975,5,1137152,666344544
540,4,1103444,749124341,6,1079164,667552727,4,1083948,733066370,6,1149032,739108664
600,4,1094072,725316657,5,1081540,675423274,6,1103616,714277502,5,1162232,765964028
