timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1143108,216987909,5,1138700,164455253,5,1151908,205146555,5,991056,195500964
60,5,1643172,1116937951,5,1528628,869728963,5,1651924,1206656029,5,1640364,1408423811
120,5,1566948,1296092358,5,1701844,1459091798,5,1599520,1486527105,5,1507064,1452646608
180,5,1600644,1296952019,5,1648636,1468775459,5,1720168,1473169489,5,1542740,1449825665
240,5,1655552,1297629876,5,1626328,1346579109,5,1658788,1384760688,5,1546304,1389101429
300,5,1613708,1185900808,5,1662232,1182625115,5,1733896,1309986747,5,1500764,1223874217
360,5,1667784,1356693850,5,1668172,1490519798,5,1702480,1385811689,5,1542344,1388950454
420,5,1644288,1284207468,5,1634380,1344272899,5,1672120,1243067009,5,1571252,1358467076
480,5,1678080,1319685041,5,1636360,1189941123,5,1727428,1381382152,5,1515588,1293069416
540,5,1697948,1494876609,5,1661440,1324708545,5,1673044,1405221708,5,1549644,1470689491
600,5,1619936,1339772290,5,1660912,1308845585,5,1688112,1387546006,5,1588320,1318996850
660,5,1550504,1172676631,5,1704340,1630812391,5,1632144,1391517768,5,1543512,1602020987
720,5,1627064,1225988787,5,1599136,1499477888,5,1662880,1448240496,5,1452168,1311240199
780,5,1689764,1420277538,5,1644808,1416883108,5,1684528,1371382026,5,1542524,1541279093
840,5,1600664,1227316660,5,1628176,1398150842,5,1702084,1514848007,5,1559360,1340511319
900,5,1702832,1447392824,5,1630816,1305244580,5,1652716,1464048882,5,1562792,1476280205
960,5,1619364,1224250974,5,1666376,1346346855,5,1659712,1332377763,5,1569524,1444224539
1020,5,1638108,1499098573,5,1670636,1426786802,5,1740496,1560098973,5,1498772,1308848358
1080,5,1685232,1347883210,5,1629016,1479304030,5,1653904,1494721745,5,1538636,1520319777
1140,5,1698036,1386562231,5,1780268,1352314460,5,1707628,1417480641,5,1538372,1239735246
1200,5,1627548,1418577350,5,1714532,1531649038,5,1686640,1288793360,5,1598168,1491617469
1260,5,1618836,1293677205,5,1615400,1333063489,5,1762804,1433191527,5,1539956,1293319576
1320,5,1725544,1427103034,5,1637048,1539777024,5,1667104,1361705166,5,1568204,1313889083
1380,5,1612524,1376046526,5,1717236,1406441603,5,1623808,1383669786,5,1622852,1276433157
1440,5,1629932,1411074776,5,1683568,1404254640,5,1721224,1430891002,5,1618628,1439897169
1500,5,1651592,1266605618,5,1709628,1652506796,5,1678984,1586644103,5,1521060,1401818713
