timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1410712,774500241,5,1393724,734566206,5,1333836,325351301
60,5,1346164,467102374,5,1344224,398885269,5,1344924,163691886
120,2,1433284,814925133,0,0,0,2,1410620,738034946,1,1398384,316671037
180,4,1381164,840777213,4,1341848,702051973,5,1355484,492013101
240,4,1333512,415313385,0,0,0,4,1232948,170335385,6,1410660,243410535
300,4,1350672,671553885,4,1260404,191202961,6,1453824,455462639
360,4,1308696,402891587,4,1276244,131574416,6,1445904,258060991
420,4,1367700,579363364,4,1302776,206566276,6,1477584,315506896
480,4,1380504,634214054,4,1296836,204019304,6,1527216,473570785
540,4,1383144,673917889,4,1300532,200851325,6,1515072,399741550
600,2,1362552,647811722,2,1295912,217065914,3,1512300,404882740
