timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1089472,183283162,5,1109580,205178158,5,1080640,151728843,5,1084172,260020299
60,5,1094620,266114900,5,1114332,387595911,5,1085392,303065062,5,1091036,481920455
120,2,1056868,553412753,5,1115124,594090097,6,1105456,513794151,7,1118492,693131686
180,5,1095940,693852185,4,1109184,738823686,6,1103080,613689003,5,1098956,764087922
240,3,1077328,825637452,5,1123308,859122849,7,1129744,900017284,5,1105820,786619943
300,4,1093168,928158826,5,1128588,1012856832,5,1102684,973258304,6,1117060,1050111692
360,5,1102804,1058854606,4,1114860,1052673660,5,1108332,1174645629,6,1121944,1095983906
420,5,1106664,1180659306,5,1132548,1177036860,5,1109652,1186072741,5,1112704,1238034794
480,3,1081856,1257468071,5,1132412,1330590475,6,1124700,1316219476,6,1128808,1335101673
540,3,1085288,1340864571,5,1135320,1418869471,6,1129452,1459074098,6,1132240,1340593687
600,4,1098488,1434913108,5,1137828,1482973054,5,1109520,1433427408,6,1133164,1438187766
