timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1267792,87623551,5,1289176,78784671,5,1242112,68513119,5,1246340,61865393
60,5,1328644,80883738,5,1346860,79875100,5,1295968,77259525,5,1300724,121271280
120,5,1288460,281003236,5,1274096,255532537,5,1324216,183019939,5,1316828,268552455
180,5,1334264,227661392,5,1327160,295504980,5,1374112,279490799,5,1332964,312774987
240,5,1280276,314770152,5,1323076,398603090,5,1401436,325243297,5,1331644,355230360
300,5,1368056,333978614,5,1417324,288551300,5,1327120,260708658,5,1343656,226403602
360,5,1394248,445226703,5,1398308,323127700,5,1375596,324024165,5,1329436,357416791
420,5,1378992,492938959,5,1350956,458535182,5,1381684,324205700,5,1363120,314654022
480,5,1363108,445603639,5,1400072,506929240,5,1381456,376771194,5,1390672,406731491
540,5,1408780,421182135,5,1402604,423783371,5,1391448,446388723,5,1363184,406920461
600,5,1440332,487777971,5,1435436,478795418,5,1389316,504730185,5,1410704,399357592
