timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1159656,147570736,5,1159204,133688828,5,1207708,194403676,5,1171348,139472921
60,5,1258788,306252483,5,1253980,325647405,5,1300900,340637301,5,1244212,285714446
120,5,1281228,504056538,5,1249756,513652676,5,1232920,531737344,5,1334500,493323662
180,4,1277532,746521099,6,1181792,655531623,5,1296676,626857187,5,1265200,692660792
240,5,1229616,811975735,5,1306004,594475367,5,1350004,844123566,5,1289620,866862753
300,4,1369536,741070896,6,1320920,1009135910,5,1293376,962429321,5,1387800,1000123027
360,6,1392372,1009567334,5,1343360,772837197,4,1427224,979604437,5,1443900,1281154220
420,6,1434480,934176199,5,1324352,1036955111,5,1386700,1141948959,4,1461060,1339755815
480,6,1457052,1241106276,4,1349960,1109613010,6,1397260,1105818225,4,1350840,1461534350
540,5,1455072,1382908858,4,1454636,1237520985,5,1555792,1353297513,6,1478768,1313606254
600,7,1462728,1471153628,4,1394972,1250640797,5,1520944,1435978642,4,1480748,1351726223
