timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1039548,153880285,10,1085716,106833235,10,1067188,180150219,10,1050780,181091862
60,10,1480032,677772668,10,1455448,553108418,10,1486948,607135619,10,1280724,339357918
120,10,1343808,756381613,10,1450564,813826686,10,1432168,789603897,10,1378536,671068907
180,9,1417200,811361504,10,1425484,701613718,11,1433752,659596723,10,1422624,765282720
240,10,1436472,866560592,10,1413208,682187585,10,1386628,611000396,10,1371276,866804465
300,10,1368756,814866271,10,1435384,708276649,10,1441540,893180223,10,1415760,674531013
360,10,1400568,868262243,10,1475248,786770257,10,1387932,748311581,10,1390204,783385447
420,10,1414428,870299958,10,1466404,793224908,10,1408788,753431939,10,1349284,715612751
480,10,1357668,863473921,10,1418752,784017790,10,1369584,789554237,10,1345144,744950147
540,10,1399776,777148542,10,1395632,715150928,10,1469244,776782883,10,1439044,772563242
600,10,1446372,740597905,10,1418468,847843368,10,1417500,662489769,10,1480272,837225654
