timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1666276,1171640217,10,1649464,1143092696,10,1710448,1149567391,10,1640396,1036736032
60,10,1678024,1114637853,10,1729456,1171515705,10,1723912,1201199373,10,1661120,1020593692
120,2,1712476,1115854861,3,1661608,1158501350,2,1740940,1215704622,3,1719160,1079165555
180,9,1669444,1314520639,8,1638244,1160390401,10,1670848,1166555807,9,1669332,1147850839
240,3,1682248,1268008316,3,1684468,1091289887,4,1716520,1153274547,3,1716628,1070934360
300,8,1690828,1330311223,6,1692652,1267692593,6,1564612,1108801250,8,1556908,1129471730
360,4,1572160,1112948987,4,1654044,1101233274,3,1631248,1132701526,5,1738208,1332171867
420,7,1520664,1075840228,8,1646520,1059265053,6,1657120,1263299256,7,1715380,1355125644
480,4,1634448,1212093674,7,1654572,964248737,4,1601812,1267954068,5,1683436,1211490300
540,7,1593788,1207583793,5,1684668,1190713100,6,1657780,1158410598,8,1620564,1159660686
600,5,1645004,1286398071,6,1659084,1075030668,4,1490800,1117284131,7,1663860,1234176364
