timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1321196,384698104,3,1459196,501078898,2,1298252,219892986,3,1595368,870804687
60,2,1328984,344951878,3,1486784,537966273,2,1299704,237160380,3,1548244,844632706
120,4,1483372,490230985,3,1530608,552961260,2,1306040,275503696,1,1355128,719922966
180,4,1487332,513915290,3,1517540,490589722,2,1292972,203375510,1,1387468,744574749
240,4,1483372,474069843,3,1516352,527610710,2,1270400,223022524,1,1375456,727473535
300,4,1492348,435805785,3,1502360,577883684,2,1291652,227491092,1,1389316,755435138
360,4,1478488,476276660,3,1526252,547666203,2,1301420,222616365,1,1372552,734985871
420,4,1517032,453297342,3,1518596,574905162,2,1310660,240330751,1,1381132,713030656
480,4,1492084,485556079,3,1518992,537689449,2,1285316,198764331,1,1396708,739398674
540,4,1525744,481457215,3,1504472,573507029,2,1292048,223014096,1,1369252,673282538
600,4,1533268,503852649,3,1536680,542005386,2,1278320,208206235,1,1366216,717201445
