timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1489712,457145177,5,1509432,539814516,5,1510696,617850494,5,1489188,481379048
60,5,1499100,521502280,5,1530288,531626688,5,1524160,537033180,5,1476192,499730173
120,5,1501872,462681101,5,1480260,492294563,5,1538680,601797631,5,1522212,480295082
180,7,1515688,573701098,5,1493196,479350596,3,1437172,613390216,5,1545776,504476496
240,7,1529160,532322025,5,1461516,457004724,3,1440604,568567866,5,1506968,528762410
300,7,1564344,514995103,6,1608544,557334468,2,1348468,555794994,5,1475552,490914370
360,8,1680132,572612843,5,1533568,555552008,2,1327216,478018811,5,1476740,501078726
420,7,1578888,540911089,4,1472980,581146794,3,1430044,488212365,6,1536284,521410774
480,7,1588788,511137385,3,1454632,529795386,4,1444696,544607666,6,1522976,483268704
540,7,1598424,516413816,3,1445260,594766720,3,1424896,452624479,7,1562408,527102943
600,7,1581924,537246624,2,1351408,487461449,4,1527592,589504767,7,1566532,510548902
