timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1008048,145298092,5,1002724,170167144,5,996872,121468042,5,1009844,139851199
60,5,1207500,198535782,5,1256032,279773403,5,1125968,146153834,5,1185536,177654110
120,5,1361016,640731307,4,1222504,683506111,6,1348124,498106026,5,1369808,677343697
180,5,1367220,628047721,4,1249300,489716464,6,1427852,672692240,5,1434752,698208529
240,5,1365504,550782607,4,1271212,509315654,6,1424288,703444993,5,1445180,720005311
300,5,1387812,608013155,4,1273324,466439609,6,1476824,744284014,5,1407692,658991155
360,5,1392828,587319750,5,1390936,625232175,5,1349048,653643466,5,1436996,677579479
420,5,1409328,586303875,5,1387108,768883904,5,1353536,448156366,5,1387760,681939813
480,5,1405236,580434847,5,1428688,771353656,5,1336244,423744876,5,1441352,710461339
540,5,1393884,588922639,5,1424992,752545195,5,1338884,404073744,5,1449932,712753394
600,5,1423452,610576922,5,1438964,773199394,5,1327400,398086937,5,1409012,693416864
