timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1229568,62210228,5,1208032,46276405,5,1264556,75470680,5,1240496,62717732
60,5,1284612,65467271,5,1261888,66290733,5,1305740,60282273,5,1271384,51693043
120,5,1322100,65833460,5,1311388,73090754,5,1345340,77417461,5,1305440,73688245
180,5,1329756,67903776,5,1296736,75712032,5,1331876,85122322,5,1329068,77712157
240,5,1321308,98314118,5,1330660,86421191,5,1346528,100126417,5,1332764,76808661
300,5,1348896,97151480,5,1357192,101433311,5,1370156,104207897,5,1344248,85917193
360,5,1369488,89205817,5,1379500,97078159,5,1391408,146394360,5,1354544,99618751
420,5,1414104,131461267,5,1392436,108676889,5,1404872,141365300,5,1362464,90417375
480,5,1410144,128764935,5,1392436,116733285,5,1419656,120830622,5,1367876,150002120
540,5,1439052,131887118,5,1409068,152325270,5,1424408,161500111,5,1372496,117913270
600,5,1452516,135530475,5,1404316,145860865,5,1421768,171590135,5,1382528,141283791
