timestamp,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1517408,820085975,5,1215668,174442289,5,1251016,233182765
60,5,1518596,566598402,5,1264112,139224253,5,1285336,202684150
120,5,1533776,975730955,5,1320344,242159988,5,1339324,336195228
180,5,1402832,635383995,5,1333016,151783600,5,1317940,190559401
240,3,1407584,491428939,5,1333280,123856678,5,1323220,158283786
300,1,1261724,309143744,6,1391360,298604337,6,1397008,314661076
360,1,1119956,151572781,6,1518212,587574968,6,1500892,470726939
420,3,1273340,368315976,5,1464092,430056372,5,1442680,468936965
480,5,1416956,657155127,5,1394792,330159128,5,1335496,256146229
540,5,1478468,791339501,5,1407860,311001884,5,1359784,285962983
600,5,1554104,855811465,5,1449308,331505427,5,1382488,302013085
