timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1204760,35884195,5,1223140,55570374,5,1226780,48659703,5,1244576,61825055
60,5,1279208,63758900,5,1282804,69587633,5,1262156,41036730,5,1319576,74064126
120,5,1309072,70335362,5,1308148,69438516,5,1282484,52282706,5,1345788,85049908
180,5,1329268,71729122,5,1319368,78536605,5,1323404,72226937,5,1361496,96852692
240,5,1342116,80349241,5,1323340,87674958,5,1328024,68534745,5,1370184,115077217
300,5,1349204,81475511,5,1370180,117203115,5,1347400,65755860,5,1385488,105322042
360,5,1355380,76132681,5,1365088,108975434,5,1345816,84681147,5,1414120,137030898
420,5,1358508,96118479,5,1393712,125149056,5,1344612,98591822,5,1422984,138022120
480,5,1371972,108344175,5,1416108,127376626,5,1379900,90251070,5,1411764,156874854
540,5,1384380,113497727,5,1423668,131159983,5,1396112,100026797,5,1428452,161463372
600,5,1389616,104364546,5,1428420,140597428,5,1428120,122416272,5,1436108,165997755
