timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1098116,8,1166148,8,1166428,8,1164768,8
60,1115596,8,1171692,8,1228732,8,1196844,8
120,1409692,9,1345008,8,1487668,7,1555224,8
180,1455532,10,1361112,9,1477900,6,1553240,7
240,1459544,11,1412560,10,1458628,5,1537664,6
300,1479112,11,1397776,10,1470244,6,1546772,5
360,1486932,10,1406488,11,1476184,6,1516016,5
360,1466868,10,1429444,11,1497040,6,1510068,5
420,1467264,11,1427992,12,1492288,5,1517460,4
480,1491552,12,1408720,13,1449388,4,1513684,3
540,1534056,11,1449640,14,1445032,5,1495996,2
600,1514604,10,1486996,15,1449256,6,1466692,1
660,1486356,9,1807420,14,1472224,7,1078612,2
660,1474476,9,1766896,14,1487144,7,1094320,2
660,1487940,9,1743532,14,1525160,7,1093924,2
660,1482000,9,1787488,14,1470380,7,1091548,2
