timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1163140,74724995,10,1146480,79696842,10,1132848,68222838,10,1146064,80247978
60,10,1170928,173289182,10,1154928,181598314,10,1140900,112318512,10,1156096,188175950
120,9,1173304,234426475,10,1165224,244355923,11,1161360,279497428,10,1160320,293885755
180,11,1185316,292316853,10,1169316,337970027,10,1169280,429979517,9,1164148,286297688
240,12,1207360,446260720,10,1172748,415576050,8,1152516,479278043,10,1169296,378328257
300,12,1217788,627392678,11,1185552,491046083,6,1111200,451656574,11,1186456,483650260
360,10,1194028,654102584,11,1192944,577994252,7,1122816,529213237,12,1201900,553463456
420,8,1166440,624395200,12,1205484,693984731,8,1138524,655144785,12,1209160,652333664
480,9,1178452,628738882,11,1201788,723235009,8,1144200,767005510,12,1209292,713525152
540,10,1196800,739981409,11,1199412,796634406,7,1129548,836006647,12,1213516,828260622
600,10,1200760,905050917,11,1201128,821388779,7,1132716,822378762,12,1215628,874771747
