timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1110692,187630607,10,1106768,189050607,10,1102860,212031440,10,1110232,163368048
60,10,1115972,332112311,10,1114424,406103412,10,1109196,345158473,10,1116832,326410400
120,15,1177088,640794869,5,1065188,506587097,10,1114740,519206523,10,1123168,482908339
180,13,1157552,690447596,6,1078784,597698691,10,1120020,663674164,11,1142704,713762354
240,13,1163360,704544900,7,1099772,866763917,10,1123980,800741930,10,1133464,841051530
300,14,1185272,899030540,6,1086440,971241883,10,1128336,1030487154,10,1138612,896805803
360,15,1202960,1158077077,6,1092248,1042015524,9,1119228,1098438878,10,1138084,924445617
420,14,1189628,1172439296,6,1095416,1090856473,9,1125828,1171460162,11,1161052,1205792081
480,14,1195172,1280743092,6,1098188,1245272012,9,1124112,1254253393,11,1168444,1310274616
540,14,1199792,1371849147,6,1095548,1274975145,9,1127412,1363397808,11,1167652,1451443482
600,14,1205864,1464431208,7,1116140,1453000148,9,1129656,1403549873,10,1151548,1407024161
