timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount
0,996724,2,1002640,2,1008984,2
60,1360648,2,1373164,2,1464384,2
120,1422952,3,1357060,2,1390992,1
180,1368332,2,1417384,3,1380264,1
240,1440932,3,1387816,2,1381056,1
300,1374536,2,1435432,3,1421448,1
360,1406612,3,1356400,2,1421316,1
420,1362656,2,1405968,3,1388184,1
480,1421132,3,1378512,2,1386336,1
540,1431560,2,1397916,3,1404288,1
600,1080968,1,1744020,4,1388296,1
660,1148420,2,1657296,3,1378924,1
720,1260092,3,1535460,2,1389484,1
780,1556888,4,1287696,1,1374964,1
840,1531280,3,1311852,2,1378396,1
900,1396508,2,1447152,3,1371664,1
960,1428716,3,1379692,2,1391464,1
1020,1364300,2,1396192,3,1407568,1
1080,1448020,3,1367680,2,1390144,1
1140,1385716,2,1396984,3,1406512,1
1200,1876956,3,1429984,3,985300,0
1260,1485840,2,1463512,3,1271476,1
1320,1094856,1,1440676,3,1743640,2
1380,1165344,2,1395004,2,1683712,2
1440,1492004,3,1378504,2,1410988,1
1500,1412144,2,1406224,3,1374556,1
1560,1112636,1,1448728,3,1690564,2
1620,1144712,2,1395268,2,1693864,2
1680,1473920,3,1381012,2,1395016,1
1740,1426532,2,1424176,3,1363996,1
1800,1121480,1,1460344,3,1665256,2
