timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1108912,1368551003,5,1075628,810270184,5,1057896,176459363,5,1054496,244378533
60,5,1102444,1368210016,5,1079984,834369082,5,1058688,192450812,5,1054496,241208866
120,5,1104160,1337587860,5,1078532,822630136,5,1059612,168312695,5,1055948,275396117
180,5,1105348,1342839366,5,1080248,802851054,5,1059876,183982319,5,1057136,251447726
240,5,1102972,1359192379,5,1077872,806912428,5,1060800,180169661,5,1056872,274807031
300,5,1105216,1375203080,5,1075496,726365285,5,1060800,174364783,5,1057928,284213646
360,5,1104820,1369702384,5,1077080,778411800,5,1060800,176706471,5,1058720,279480745
420,5,1105084,1365331644,5,1080116,827170792,5,1061592,173890275,5,1059512,283667511
480,5,1104556,1384733852,5,1079720,809890637,5,1062780,186159875,5,1063736,259923326
540,5,1106536,1308344056,5,1077872,861367280,5,1063968,184015390,5,1063604,268369245
600,5,1104028,1376777354,5,1078400,837831081,5,1064100,171877728,5,1064528,235872224
