timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1423412,655686333,5,1478708,883277858,5,1393628,538080731,5,1376844,434633767
60,5,1439912,702591898,5,1511048,851784789,5,1422932,575139324,5,1375260,405767346
120,5,1476872,710484274,5,1494680,853280509,5,1416200,552785406,5,1404168,396885689
180,5,1474232,671604606,5,1507616,852939418,5,1424252,569659452,5,1432812,451155375
240,5,1499180,719664987,5,1535336,886429997,5,1423328,561459673,5,1408656,386499376
300,5,1509740,700975547,5,1514084,886658657,5,1446692,571005778,5,1429776,378290134
360,5,1510268,673206027,5,1539956,929465392,5,1472696,527747903,5,1422120,390542071
420,5,1497068,666675329,5,1518440,889682992,5,1492232,590428228,5,1415256,393708669
480,5,1518980,751699852,5,1501280,828352896,5,1456724,542538336,5,1420536,381235419
540,5,1506176,694962215,5,1526096,825107945,5,1455272,562922601,5,1432152,446176674
600,5,1507364,695368179,5,1535468,877388374,5,1482728,565361925,5,1421064,384567472
