timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1057220,186484894,5,1073752,145224767,5,1067232,194771891,5,1074100,144904946
60,5,1061312,50049655,5,1082728,40374615,5,1077792,44251021,5,1078720,35303388
120,5,1126652,132757873,5,1160080,159305817,5,1137324,107505553,5,1111456,78547736
180,5,1202288,235951160,5,1217236,256766821,5,1212696,238719646,5,1165972,160944807
240,5,1250864,313607366,5,1306600,429501217,5,1286088,330718185,5,1222600,199726699
300,5,1309736,417863854,5,1342636,476131417,5,1343376,435583134,5,1265368,268815309
360,5,1345772,524663608,5,1394908,674376904,5,1374396,435719777,5,1295200,294784942
420,5,1386032,615802751,5,1424476,780771353,5,1396572,540871946,5,1340080,366908368
480,5,1409132,694419267,5,1459852,867260302,5,1426140,599043303,5,1361728,406995961
540,5,1435136,766676980,5,1482688,945694142,5,1464420,716877547,5,1377700,431524535
600,5,1468532,857285002,5,1512256,1126654592,5,1448844,765267781,5,1422580,507381176
