timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1237844,58798214,5,1179476,33950902,5,1211496,50076048,5,1247732,60059413
60,5,1279160,60122003,5,1243760,69824644,5,1277232,79821705,5,1283900,55803518
120,5,1303184,59027182,5,1287056,73796743,5,1304688,72922697,5,1307528,56571265
180,5,1324304,63699339,5,1305008,82130059,5,1326072,82456087,5,1316900,62417563
240,5,1323380,82301327,5,1318736,69952936,5,1327920,100038214,5,1329308,80856717
300,5,1350176,101351775,5,1357676,95275748,5,1369368,120480742,5,1347260,80291511
360,5,1372616,100528984,5,1359260,93148075,5,1393260,101938378,5,1369304,104661190
420,5,1385288,101152735,5,1383416,109448289,5,1397748,138502366,5,1377092,103102463
480,5,1414460,116443913,5,1391204,127985168,5,1435236,141528926,5,1382372,106656146
540,5,1420400,106474943,5,1393844,125792498,5,1443288,153193379,5,1386860,143887675
600,5,1431092,154541989,5,1402820,139843331,5,1431936,155062188,5,1393328,119609683
