timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1092936,50587403,5,1087296,35097033,5,1134704,113673819,5,1116880,106640054
60,5,1143756,99230387,5,1090992,38689315,5,1208492,233582897,5,1209808,268935432
120,5,1189296,145063571,5,1101684,42319138,5,1258256,361147332,5,1284520,413215223
180,5,1231668,203112128,5,1106436,38010218,5,1295876,482835148,5,1324648,492502620
240,5,1256352,211987315,5,1110792,38829700,5,1333100,621661034,5,1356460,639700671
300,5,1270740,258496318,5,1115676,40416451,5,1352636,734599439,5,1392232,761379961
360,5,1273512,295211438,5,1116864,45873021,5,1381544,828192244,5,1431172,919371649
420,5,1307436,347164635,5,1121616,46835466,5,1411904,906740149,5,1450576,1033057348
480,5,1298724,359479544,5,1129008,45351170,5,1440548,1062746059,5,1466944,1082548969
540,5,1299912,412956186,5,1137192,40674590,5,1475924,1112373787,5,1487272,1226861007
600,5,1332912,497926291,5,1140360,46469376,5,1470248,1128624533,5,1514464,1305231827
