timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,958928,362561172,5,957452,349965442,5,957684,378673340,5,950628,352373932
60,5,1417944,383674388,5,1214204,249787042,5,1403220,475993960,5,1154072,219164379
120,5,1619936,1355771633,5,1413472,1051194018,5,1526872,1355768965,5,1277340,597327233
180,5,1576772,1393598391,5,1502104,1077469482,5,1607624,1415773706,5,1266012,498776769
240,5,1631768,1426108627,5,1500352,1065145791,5,1574756,1313782461,5,1329240,541144744
300,5,1633220,1351965997,5,1532824,1076969422,5,1650620,1373729747,5,1324944,531622067
360,5,1630712,1371818636,5,1513684,1057060192,5,1653272,1384618463,5,1366732,547219151
420,5,1642704,1332996760,5,1525300,1061668809,5,1600120,1347415443,5,1335996,569342833
480,5,1621876,1371700758,5,1563712,1070430539,5,1625728,1382376626,5,1373352,541669241
540,5,1647748,1358422775,5,1503784,1051431353,5,1630368,1409983850,5,1382460,586044266
600,5,1686952,1419209470,5,1503784,1090580647,5,1627332,1357179533,5,1378500,528620262
660,5,1647112,1343103846,5,1532692,1072269199,5,1644756,1380300901,5,1390176,585795887
720,5,1632856,1352971180,5,1522264,1026399313,5,1664160,1404426523,5,1408260,583621559
780,5,1652788,1370713852,5,1514872,1062944037,5,1612020,1366280730,5,1389732,580779595
840,5,1629556,1377609707,5,1530844,1114066611,5,1617564,1349045428,5,1375872,526391866
900,5,1662952,1387549547,5,1510384,1102311344,5,1609380,1359575574,5,1390920,571367619
960,5,1599196,1287013950,5,1469464,1014654113,5,1691568,1475491648,5,1421148,598684304
1020,5,1614640,1359252813,5,1521208,1128534868,5,1671356,1378440623,5,1372308,499995701
1080,5,1641700,1385057632,5,1506424,1056661723,5,1672412,1377102189,5,1403724,555901663
1140,5,1676548,1348797452,5,1543252,1060840495,5,1654064,1410837604,5,1396068,555194999
1200,5,1667572,1308284730,5,1500748,1062734143,5,1638356,1440849914,5,1383000,514009228
1260,5,1674304,1372169243,5,1555528,1102074412,5,1682444,1392967971,5,1368084,512292789
1320,5,1716808,1428684795,5,1526752,1111704182,5,1598756,1348130264,5,1384848,503332315
1380,5,1679452,1355987899,5,1489660,1009762923,5,1643900,1416441929,5,1371780,572638108
1440,5,1668232,1380798117,5,1541536,1123310545,5,1627400,1384362660,5,1398972,524972469
1500,5,1661236,1345495918,5,1489000,1040805012,5,1659740,1412419532,5,1399368,509451746
1560,5,1696084,1345831731,5,1505896,1048138356,5,1628192,1398387132,5,1408608,527053807
1620,5,1669156,1402162348,5,1526224,1072340052,5,1643240,1418395229,5,1374816,495744536
1680,5,1677340,1478647632,5,1520812,999469949,5,1634264,1426972159,5,1429464,561682180
1740,5,1648564,1324976177,5,1570972,1203017734,5,1637696,1375809186,5,1379732,592847394
1800,5,1679188,1413558679,5,1533484,985593306,5,1665152,1574069356,5,1399532,547104424
