timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1291384,497744266,5,1280996,500386449,5,1326708,195477341
60,5,1456384,764926048,0,0,0,5,1384088,615899843,5,1386372,288879000
120,5,1342864,600761648,5,1307924,621492291,5,1395480,189501686
180,5,1453348,624899522,5,1419728,600762963,5,1411980,199862578
240,5,1509184,843487939,0,0,0,5,1433720,732423209,5,1425312,316893345
300,5,1399624,574399372,5,1322180,577610487,5,1407492,213884195
360,5,1490968,719589303,5,1443224,588168629,5,1411716,252449324
420,5,1490968,719589303,0,0,0,5,1443224,588168629,5,1411716,252449324
480,5,1534396,858871528,5,1451804,744998518,5,1439964,307540555
540,5,1480012,722483124,5,1473452,660754271,5,1462140,288119865
600,5,1455064,609024590,5,1411676,505604997,5,1451448,214168891
