timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1097264,1062049871,5,1118072,1252803667,5,1106268,1265421364,5,1101532,1062152855
60,5,1101224,1157484295,5,1114376,1131889167,5,1108776,1252846561,5,1100212,1104453696
120,5,1099772,1121207611,5,1116488,1184815573,5,1108116,1235779767,5,1101268,1145010866
180,5,1100432,1148212603,5,1118996,1259493431,5,1113792,1233329283,5,1099948,1085376128
240,5,1099640,1070361719,5,1121636,1219496760,5,1110228,1294045371,5,1099156,1052100134
300,5,1102544,1119881847,5,1114508,1132313908,5,1114188,1311929701,5,1100212,1105001136
360,5,1097924,994961201,5,1119920,1288155928,5,1111812,1317070688,5,1106020,1127792806
420,5,1101752,1124404036,5,1120976,1268604942,5,1109568,1221510805,5,1098364,1050036644
480,5,1103732,1095594772,5,1118600,1221480036,5,1109700,1328798811,5,1104304,1041447002
540,5,1103468,1042358061,5,1117412,1211379950,5,1109436,1253216543,5,1101004,1126184132
600,5,1104656,1124363826,5,1121768,1195979681,5,1111944,1336441502,5,1099024,1014453354
