timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,999464,109948702,5,1046560,106098664,5,1047652,117897580,5,1046396,113821236
60,5,1497632,790009821,5,1580500,927667185,5,1427284,655343335,5,1587068,1018202351
120,5,1494332,1177112453,5,1611652,1179034395,5,1473616,832156682,5,1628648,1199365714
180,5,1551752,1132258126,5,1621684,1149580460,5,1486288,874310683,5,1636304,1238995327
240,5,1557200,1203648033,5,1605448,1204226194,5,1522324,808177614,5,1585352,1120019735
300,5,1559180,1209459076,5,1621948,1166941129,5,1511236,849470140,5,1627988,1184366340
360,5,1554164,1178493995,5,1623268,1199359593,5,1524964,891752694,5,1616108,1101535816
420,5,1586768,1235087045,5,1613236,1119449674,5,1522588,855441249,5,1591556,1156064573
480,5,1538720,1112567391,5,1564528,1166137734,5,1549120,864529200,5,1638284,1210432591
540,5,1612508,1233490060,5,1640692,1135867363,5,1534996,889340462,5,1580864,1125762348
600,5,1556936,1135565676,5,1635676,1192009313,5,1535128,871880025,5,1629572,1182497885
660,5,1568288,1178020109,5,1620892,1200446662,5,1552816,932226169,5,1614260,1115796540
720,5,1571192,1162722809,5,1625116,1130583924,5,1571560,880868350,5,1611488,1182626369
780,5,1558784,1251387522,5,1602808,1120421297,5,1564960,881890355,5,1610036,1138518930
840,5,1555880,1156707857,5,1621684,1105278801,5,1542784,931031332,5,1653068,1209551620
900,5,1578320,1172026327,5,1651780,1180396473,5,1555324,887035957,5,1594724,1183223449
960,5,1587428,1171675187,5,1677520,1229942688,5,1527472,846182463,5,1594988,1182416585
1020,5,1541360,1121612146,5,1656004,1222255361,5,1528528,862204239,5,1598420,1207410247
1080,5,1548488,1222671702,5,1649404,1187698506,5,1549252,928240394,5,1608452,1122840354
1140,5,1547564,1130661540,5,1647556,1199634398,5,1589248,871279294,5,1615052,1180337503
1200,5,1532648,1175018885,5,1653100,1144247303,5,1526020,859357228,5,1659668,1246384772
1260,5,1577924,1218883743,5,1618384,1175983560,5,1534732,880440672,5,1619936,1161007133
1320,5,1559048,1192568529,5,1642408,1137685514,5,1555192,912887671,5,1646732,1160024369
1380,5,1554164,1177525933,5,1648876,1171838061,5,1532884,849644470,5,1635116,1228906680
1440,5,1558256,1152902171,5,1606504,1097210433,5,1573144,986260220,5,1608716,1183733609
1500,5,1594820,1193089185,5,1631056,1163674748,5,1541200,883446609,5,1623632,1163710096
1560,5,1550204,1154036849,5,1616932,1190235517,5,1564300,922725492,5,1638812,1179529173
1620,5,1569476,1150200585,5,1574824,1157464418,5,1574860,925273124,5,1629440,1194501653
1680,5,1549940,1246521173,5,1609276,1194120946,5,1535788,847097912,5,1655972,1206224149
1740,5,1578056,1156252899,5,1636204,1266399392,5,1580932,922587511,5,1621652,1219950231
1800,5,1570796,1153593499,5,1643068,1135020939,5,1556512,973402003,5,1600928,1242595700
