timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1129704,524293440,10,1149388,477142738,10,1165760,468517288,10,1137844,458323146
60,10,1130628,61469825,10,1151896,62073041,10,1168400,65879886,10,1140748,43050818
120,10,1134060,89056813,10,1155064,61783836,10,1174604,93169654,10,1146292,75787820
180,10,1143696,206594843,10,1164304,158142151,10,1181732,201228911,10,1156588,194739394
240,10,1152408,327381775,10,1169716,191873035,10,1189652,333330037,10,1162792,291867191
300,10,1160328,461475852,10,1175260,272297446,10,1195724,385343528,10,1167676,403582797
360,10,1163496,547494618,10,1178428,341869103,10,1201796,492674522,10,1172296,525702173
420,10,1165740,614209912,10,1181596,378292949,10,1205360,622268230,10,1176784,626003619
480,10,1167060,708421696,10,1183576,478604425,10,1209056,689239127,10,1180612,764842789
540,10,1171944,907635085,10,1187008,529294765,10,1209848,724796257,10,1181800,789003133
600,10,1172472,944990227,10,1188856,634101906,10,1212224,847657964,10,1183912,837270364
