timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1033584,2,975948,2,984964,2,982160,2
60,1199392,2,1261596,2,1129636,2,1129076,2
120,1292188,2,1329180,2,1155508,2,1185176,2
180,1305388,2,1339212,2,1165572,2,1201808,2
240,1316608,2,1320072,2,1163460,2,1202204,2
300,1327696,2,1351620,2,1146432,2,1189400,2
360,1310404,2,1323636,2,1164648,2,1212368,2
420,1338124,2,1306476,2,1175340,2,1191512,2
480,1288096,2,1324032,2,1176396,2,1197320,2
540,1301164,2,1357428,2,1177584,2,1190456,2
600,1323472,2,1352280,2,1153956,2,1197848,2
660,1298788,2,1315584,2,1184052,2,1189268,2
720,1309348,2,1340136,2,1154220,2,1168940,2
780,1336176,2,1330632,2,1153032,2,1204712,2
840,1308588,2,1322448,2,1180488,2,1207352,2
900,1319676,2,1322976,2,1179828,2,1193492,2
960,1310700,2,1344888,2,1168212,2,1180952,2
1020,1307664,2,1320600,2,1183128,2,1196528,2
1080,1325184,2,1364292,2,1161480,2,1204712,2
1140,1305516,2,1357296,2,1146168,2,1214876,2
1200,1326768,2,1327068,2,1148016,2,1226572,2
1260,1330332,2,1325880,2,1170588,2,1204660,2
1320,1314360,2,1334856,2,1153428,2,1195816,2
1380,1321752,2,1328916,2,1162800,2,1206508,2
1440,1283868,2,1355052,2,1170984,2,1191724,2
1500,1310928,2,1349772,2,1164396,2,1191328,2
1560,1326240,2,1334592,2,1160700,2,1197664,2
1620,1316076,2,1365348,2,1169412,2,1185388,2
1680,1352508,2,1334328,2,1155288,2,1199116,2
1740,1311060,2,1322712,2,1152252,2,1213768,2
1800,1327428,2,1318884,2,1168152,2,1205732,2
