NAME                      READY   STATUS    RESTARTS        AGE   IP             NODE        NOMINATED NODE   READINESS GATES
pod-1-7555948954-lpj28    1/1     Running   2 (8m45s ago)   34m   10.244.3.191   ppgcc-m04   <none>           <none>
pod-10-844574665b-qkfct   1/1     Running   3 (7m23s ago)   34m   10.244.2.194   ppgcc-m03   <none>           <none>
pod-11-7c7c4f87cc-t6sbq   1/1     Running   1 (10m ago)     34m   10.244.1.115   ppgcc-m02   <none>           <none>
pod-12-67c455f6c4-fpwjp   1/1     Running   3 (3m22s ago)   34m   10.244.2.195   ppgcc-m03   <none>           <none>
pod-2-65bcfb6589-r2w2h    1/1     Running   2 (12m ago)     34m   10.244.2.191   ppgcc-m03   <none>           <none>
pod-3-84989cc8c6-44vfp    1/1     Running   2 (14m ago)     34m   10.244.3.192   ppgcc-m04   <none>           <none>
pod-4-65898b77f-87tt2     1/1     Running   3 (5m35s ago)   34m   10.244.2.192   ppgcc-m03   <none>           <none>
pod-5-5954957dbb-dnxjd    1/1     Running   1 (13m ago)     34m   10.244.1.113   ppgcc-m02   <none>           <none>
pod-6-55754df47c-fklrz    1/1     Running   1 (20m ago)     34m   10.244.1.114   ppgcc-m02   <none>           <none>
pod-7-75b4f47fb-b2tnx     1/1     Running   2 (10m ago)     34m   10.244.2.193   ppgcc-m03   <none>           <none>
pod-8-86cc89bcd7-wrdlv    1/1     Running   2 (3m59s ago)   34m   10.244.3.193   ppgcc-m04   <none>           <none>
pod-9-6844b5b76b-tmd9f    1/1     Running   1 (11m ago)     34m   10.244.3.194   ppgcc-m04   <none>           <none>

