NAME                      READY   STATUS    RESTARTS   AGE     IP             NODE        NOMINATED NODE   READINESS GATES
pod-1-7f9d5d97fb-tnrx2    1/1     Running   0          2m34s   10.244.2.172   ppgcc-m03   <none>           <none>
pod-10-6c5f95b9db-92x7m   1/1     Running   0          94s     10.244.3.189   ppgcc-m04   <none>           <none>
pod-11-747547b5fc-qx9kk   1/1     Running   0          5m34s   10.244.3.179   ppgcc-m04   <none>           <none>
pod-12-54c7686744-glbtw   1/1     Running   0          3m33s   10.244.2.168   ppgcc-m03   <none>           <none>
pod-2-554c554c5c-vzg8m    1/1     Running   0          2m34s   10.244.3.187   ppgcc-m04   <none>           <none>
pod-3-7b788b9b78-jql8v    1/1     Running   0          94s     10.244.2.173   ppgcc-m03   <none>           <none>
pod-4-6cbf55dd5f-4dfn4    1/1     Running   0          3m33s   10.244.3.185   ppgcc-m04   <none>           <none>
pod-5-8676c8897b-5zfwh    1/1     Running   0          19m     10.244.1.35    ppgcc-m02   <none>           <none>
pod-6-6cc78477-bcbjz      1/1     Running   0          93s     10.244.3.190   ppgcc-m04   <none>           <none>
pod-7-569c47cdb6-bzl2w    1/1     Running   0          93s     10.244.2.174   ppgcc-m03   <none>           <none>
pod-8-747c7d59c9-dcsg8    1/1     Running   0          93s     10.244.2.175   ppgcc-m03   <none>           <none>
pod-9-698b87d99b-7xbkq    1/1     Running   0          93s     10.244.3.191   ppgcc-m04   <none>           <none>

