timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1393712,537379269,5,1435528,719155304,5,1321812,391817581,5,1496648,890533217
60,5,1407440,509601552,5,1457704,753905514,5,1379760,435663635,5,1560536,835276820
120,4,1374044,778169089,6,1340620,665839825,5,1309536,612704827,5,1428932,756168166
180,4,1373120,713256420,5,1444108,767276436,6,1344384,622128645,5,1411772,736474510
240,5,1407176,776719933,5,1356592,717148201,5,1351248,553077801,5,1392632,694963394
300,4,1328960,700118920,4,1316464,634298772,6,1334220,638327057,6,1482788,791831457
360,4,1330712,639248923,5,1334548,662426325,5,1378836,786107782,6,1427876,717929441
420,5,1373480,749829687,5,1349200,694748667,4,1348872,666726532,6,1457972,696331168
480,4,1281740,634273325,5,1395796,722739867,5,1406100,649015953,6,1478828,716126797
540,5,1433808,749415242,5,1360288,686417252,5,1393956,650253504,5,1396592,688716463
600,5,1376848,737795583,5,1312768,725198707,5,1346436,686097377,5,1372584,671416055
