timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1062940,114879778,5,1082068,116469911,5,1004496,118733860,5,1001564,108315807
60,5,1084720,56541032,5,1089460,48388014,5,1009644,40498712,5,1018064,47204504
120,5,1142536,246614542,5,1123384,217925869,5,1038288,201011230,5,1087656,223517742
180,5,1172500,311277409,6,1156120,223636003,4,1104948,435889884,5,1091220,257978321
240,4,1222792,356630778,5,1205488,383257777,6,1096368,412486775,5,1141116,477555537
300,5,1223188,554391363,6,1226608,550064113,3,1106668,375018629,6,1164216,510198878
360,6,1236124,596113527,6,1264624,592802795,4,1164352,622778289,4,1140324,527047992
420,5,1271368,665559234,5,1246984,675857654,4,1194904,697208235,6,1219260,676382465
480,6,1290376,720914479,5,1294420,715901519,5,1216240,752476470,4,1214904,699612045
540,6,1322188,803620810,7,1348672,908572113,4,1225084,776915326,3,1205268,740892882
600,5,1321264,859156636,4,1354084,878527455,5,1279600,1028905200,6,1244472,818321729
