timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1128900,1123697958,10,1098328,1217851666,10,1144492,1200146956,10,1120416,1134883505
60,10,1134576,1197420101,10,1099384,1172743064,10,1143304,1199314148,10,1121076,1113089187
120,8,1114380,1334424774,16,1163800,1336448397,6,1095652,1243533555,10,1129260,1276175674
180,9,1123488,1217669442,11,1119712,1368999271,10,1143832,1302672113,10,1127940,1270507862
240,10,1123488,1217669442,9,1093576,1238111387,12,1167504,1275136168,9,1117776,1383124513
300,6,1139156,1309234315,12,1131652,1354185864,10,1145988,1338007035,12,1150908,1320652875
360,10,1087148,1144962466,9,1096348,1291340251,11,1162224,1379589132,10,1125460,1251861727
420,9,1125112,1263278629,14,1152712,1330562721,9,1140972,1264498209,8,1104264,1388787107
480,9,1125112,1263278629,9,1098592,1209113408,11,1166316,1413901907,11,1137924,1389464629
540,11,1122768,1231452518,9,1099780,1310781639,10,1150212,1312074332,10,1130268,1337008034
600,10,1137076,1258315283,10,1113772,1277982833,11,1166184,1285613433,9,1119576,1334189451
