timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1092428,649797050,10,1086196,746452928,10,1083660,620611625,10,1103564,792302914
60,10,1096124,725776726,10,1088836,769796254,10,1086036,534597337,10,1102772,774416383
120,10,1099556,659269250,9,1073788,671044506,11,1104648,768498069,10,1103432,747370091
180,11,1113416,705355669,10,1088176,676495993,10,1093032,789029648,9,1091024,669558895
240,11,1113416,701173815,11,1105336,747674546,9,1077984,667078079,9,1090892,686614534
300,11,1116848,700897678,10,1091212,765205809,10,1090920,640470106,9,1090628,696803343
360,11,1114868,691992985,9,1076956,724386889,11,1107024,712903270,9,1089308,654100865
420,11,1116320,670231059,9,1076692,687164965,11,1107816,771333966,9,1090100,645331302
480,12,1130312,752499773,9,1077748,681171554,10,1093164,702979730,9,1092344,646801759
540,11,1114604,726908688,9,1077220,623420794,10,1097916,756862907,10,1103696,655117477
600,10,1103120,723322035,10,1090948,689466624,9,1081152,628261608,11,1119932,781735830
