timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1153504,369991447,10,1166696,265676185,10,1183020,298704360,10,1055140,380209726
60,10,1155352,47927582,10,1170128,45779068,10,1185264,47904711,10,1056724,70755409
120,10,1188880,92563264,10,1192172,66000787,10,1217604,75455199,10,1087612,79200051
180,10,1270324,158285807,10,1238768,115037283,10,1308024,174233592,10,1227136,278122267
240,10,1350448,328155477,10,1286552,184009210,10,1382604,223932083,10,1312276,352925842
300,10,1405756,361636721,10,1331828,231618170,10,1456656,351232151,10,1382764,457623495
360,10,1437040,473937764,10,1354664,320063083,10,1509984,392954950,10,1428568,630951493
420,11,1467664,543984807,11,1388720,384593579,7,1394880,523847994,11,1473580,702430470
480,11,1554124,746888502,11,1542896,695565432,7,1301952,148994452,11,1595416,890440380
540,11,1579996,794089262,11,1575368,741894134,8,1323732,168821710,10,1639900,1063379049
600,11,1640584,900990154,11,1579724,790751778,9,1459296,425771076,9,1569676,1011388022
