timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1545220,584345379,10,1475536,586327361,10,1548568,660651102,10,1492220,596146812
60,10,1602112,657009625,10,1591960,658571230,10,1579192,672882901,10,1584356,615952037
120,3,1642768,685613064,3,1565824,653116183,2,1621960,658887118,4,1604156,574385447
180,7,1510108,831060413,9,1550744,834835034,9,1452868,763527507,4,1495520,697596791
240,4,1619396,851059182,7,1645124,804516822,5,1674232,783971811,1,1251584,388362641
300,7,1577420,928349489,5,1541900,665402967,5,1495636,741640927,2,1435988,660743816
360,8,1732652,938825944,9,1498768,690719132,7,1608628,811348898,4,1308344,562314565
420,4,1592864,723865237,3,1592752,707697894,4,1659184,865017523,3,1402592,536689181
480,7,1557760,851782536,8,1505500,729087727,8,1622320,844619507,7,1376480,600549853
540,5,1578484,767204467,4,1572556,654307644,5,1560940,611147435,6,1550720,749115227
600,7,1597360,752742589,5,1556176,765241828,6,1509940,669843141,5,1566032,719296316
