timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1193152,76317163,10,1169248,107289585,10,1209540,88449028,10,1154748,99708086
60,10,1203448,172416107,10,1175980,196205745,10,1216668,142875840,10,1162404,204187342
120,9,1215328,386357938,10,1205264,509865173,7,1221684,346022882,8,1142472,460885440
180,10,1206696,452534318,11,1194836,566149922,9,1209140,439029896,8,1163064,480740603
240,7,1183464,494649985,10,1196156,555663311,9,1221700,498770955,14,1212696,625302338
300,8,1187188,583757838,8,1182296,565476670,7,1260172,701989899,9,1170720,706906873
360,9,1205272,536631115,9,1176508,735661893,14,1271260,643707272,8,1152504,637927294
420,8,1217944,694516496,7,1195256,799639701,10,1278652,819471378,7,1143924,664511039
480,8,1183492,798435449,10,1193012,842461467,11,1252648,823425357,11,1197236,880471639
540,8,1215172,781475738,9,1199480,800851055,9,1251196,858688161,10,1181016,972943530
600,9,1206856,920394139,9,1190900,967964062,10,1244860,986097135,9,1199760,948535981
