timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1140216,1117697570,10,1149332,1243807226,10,1124568,1271167691,10,1156300,1157758634
60,10,1139028,1197052493,10,1146032,1253740676,10,1130376,1197399658,10,1154980,1080973239
120,10,1141800,1255484583,9,1131644,1185466670,10,1126680,1236104273,11,1168048,1162349361
180,10,1144440,1259462872,9,1131512,1118369763,10,1128924,1337129515,11,1171084,1150365617
240,10,1143780,1276587064,11,1154744,1152905042,8,1097904,1231246305,11,1174516,1166545966
300,9,1129392,1233909433,12,1172960,1229718510,8,1099884,1143194881,11,1174780,1182711354
360,9,1124508,1034620383,12,1183784,1294254769,8,1098300,1158192028,11,1174252,1183715281
420,10,1144308,1179439758,11,1164776,1284131965,8,1101732,1233897333,11,1173196,1159475675
480,10,1144572,1282563801,10,1148804,1178572688,8,1103316,1148455944,12,1191544,1227892714
540,9,1130316,1195247104,11,1163588,1049164784,8,1095264,1179881479,12,1193788,1301892319
600,9,1127412,1205470092,12,1179164,1225779513,8,1101996,1221262469,11,1176760,1192002126
