timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1091216,127435050,5,1106960,129195436,5,1112416,93465223,5,1103984,130276192
60,5,1146260,149361840,5,1173620,221878544,5,1185412,169186507,5,1168004,292451180
120,5,1204472,271898393,5,1221008,291847581,5,1234912,199016894,5,1217372,375776052
180,5,1231004,303999273,5,1276712,378897458,5,1280320,270769547,5,1259084,438940445
240,5,1263080,371241873,5,1308920,483768681,5,1307116,326865416,5,1286804,518130876
300,5,1303604,397689941,5,1329116,538085242,5,1331140,358915971,5,1318484,650049111
360,5,1330268,510078993,5,1355252,612418172,5,1352128,440917788,5,1366136,771214077
420,5,1351124,568725305,5,1368320,690829506,5,1376152,501786844,5,1395704,800590351
480,5,1369868,601843520,5,1434848,779271454,5,1402816,565726432,5,1420916,966869084
540,5,1378316,631978022,5,1450160,869583369,5,1408492,559385857,5,1432928,1045622353
600,5,1418312,711380161,5,1461248,940085675,5,1431856,655690663,5,1452332,1075521967
