timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1066972,395478095,5,1011068,598596799,5,1008940,459030795,5,1023412,352531168
60,5,1066708,44488051,5,1011200,42542512,5,1010128,49013040,5,1022356,44508240
120,1,1027044,199862365,6,1034828,236930564,6,1025044,157012103,7,1061296,330617442
180,1,1027704,183798447,1,980048,371358002,11,1101604,472635146,7,1067236,694056178
240,5,1072452,500629682,9,1061564,598179191,2,1042588,903619217,4,1056940,395894609
300,1,1042884,734753444,1,1005332,838449132,1,993880,714739594,17,1188016,862800952
360,5,1078392,803595168,11,1106840,892484479,2,982396,601292648,2,1063012,1370300776
420,1,1040376,954623424,1,1019060,1228623264,5,1042324,977475522,13,1128616,1121052466
480,1,1039848,995546095,1,993056,1074561559,10,1092352,1071961340,8,1110400,1524413240
540,3,1053444,1049677086,8,1066052,1113313980,3,1040740,1765326811,6,1071724,1052121366
600,1,1055160,1277315442,7,1063428,1271449547,9,1085092,1524260108,3,1043476,1528498662
