timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1169972,174377703,5,1179536,243150628,5,1169504,230111269,5,1169476,185408278
60,5,1265012,349144607,5,1250288,353456379,5,1266656,396646135,5,1246168,332215889
120,5,1320848,469936426,5,1292660,462714571,5,1329620,595909555,5,1319164,504636154
180,5,1345400,627447717,5,1329224,665179156,5,1384928,714085972,5,1348864,556238932
240,5,1385528,697351087,5,1375424,742654709,5,1427432,905583606,5,1375000,782801749
300,5,1445456,839603815,5,1407632,901129732,5,1455284,1035873834,5,1406284,860635454
360,5,1450076,911032804,5,1461752,1016448929,5,1509140,1194290778,5,1432156,905993039
420,5,1500236,1029208394,5,1493036,1109360303,5,1540424,1260139381,5,1484692,1087311831
480,5,1554488,1188246563,5,1505972,1196610844,5,1579232,1357370595,5,1487860,1118258897
540,5,1566236,1201301459,5,1552172,1290802732,5,1615136,1470601497,5,1536568,1216897893
600,5,1582340,1215805478,5,1568540,1345723672,5,1668332,1590823256,5,1552012,1366484631
