timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1627280,688582231,10,1525204,636538984,10,1615700,640587749,10,1574952,615018571
60,10,1649852,645153784,10,1560580,627493210,10,1605932,644531084,10,1610064,602634430
120,10,1658168,650250615,10,1596880,547457015,10,1647116,641063618,10,1623792,637352968
180,10,1664240,682521017,10,1617472,607025855,10,1662824,602493236,10,1644384,647319037
240,10,1663052,621241102,10,1629880,666877833,10,1661372,653064520,10,1627224,557090316
300,10,1699088,680104354,10,1614436,638263203,10,1674440,646786775,10,1636860,566606390
360,10,1708724,669943359,10,1602292,586221322,10,1678268,643261157,10,1645704,609293392
420,10,1697504,661354650,10,1620508,615561895,10,1702028,694250447,10,1654020,544996627
480,10,1675064,652524021,10,1632784,596038513,10,1705460,669715826,10,1671972,596590621
540,10,1687208,594429566,10,1643212,627396578,10,1703612,677326458,10,1677780,574511923
600,10,1676252,638825047,10,1625656,602276517,10,1685264,659691402,10,1670784,624013299
