timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1038840,309015952,5,1104388,692383403,5,1015860,525137863,5,1040476,671887350
60,5,1040160,44369372,5,1105840,36469884,5,1017972,35912526,5,1041400,45873778
120,5,1055076,80567508,5,1129204,60147876,5,1037508,56616180,5,1060012,49594953
180,3,1133748,270941564,11,1221072,234658536,3,1104432,180829705,3,1105684,194389513
240,1,1088868,267413190,1,1527708,779131683,16,1045164,156689249,2,1070176,170633643
300,1,1028904,130433862,1,1081284,239797761,18,1712952,1066598398,0,1021864,100861652
360,4,1050948,141631062,4,1088544,71445807,9,1863364,1372827746,3,990052,46293140
420,1,1204992,476056743,1,1276116,571399829,14,1465952,957583705,4,1199140,376927362
480,1,1099920,369878554,1,1150584,273597089,1,1877080,1592724912,17,1069068,208329272
540,1,1042236,134593873,1,1117716,151695314,16,1018488,315358467,2,1837948,1715059878
600,1,1037748,99161061,1,1084452,78970156,18,1902616,1887200661,0,982916,428070597
