timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1130312,1146111505,10,1120688,1254084702,10,1137480,1002316297,10,1124292,1365501199
60,10,1128992,1147640181,10,1122272,1246789611,10,1136952,988483339,10,1122444,1349460990
120,3,1138892,1213165770,3,1125044,1262982076,2,1141308,1009621857,4,1128384,1312961144
180,7,1132292,1257811867,8,1147316,1200177935,8,1143552,1327928215,8,1131288,1347223314
240,5,1136516,1176849199,5,1132400,1318188660,3,1173648,1394619680,3,1130760,964784538
300,7,1155524,1433194411,4,1127780,1264344835,9,1189752,1200405776,7,1138504,1245938754
360,4,1093220,1063511344,8,1123424,1242767580,5,1187508,1271701001,7,1171372,1381923433
420,5,1097180,1074119400,7,1171604,1367462100,5,1150680,1333851771,9,1176256,1273050326
480,4,1096256,1001487512,7,1134116,1141329887,9,1181304,1417291192,7,1162792,1392914167
540,6,1121704,1000543141,4,1120784,1203207977,8,1202952,1460215118,6,1121608,1346594153
600,8,1160116,1314108973,7,1099400,1136010221,4,1193564,1284471833,5,1128208,1223578123
