timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1043028,124411145,5,1108212,118812229,5,998336,111173534,5,991588,56493164
60,5,1045272,40930257,5,1110060,71785323,5,1000844,55045924,5,994888,58685081
120,5,1049364,78137253,5,1118244,211912528,5,1006520,155042216,5,1001488,156412321
180,5,1052532,108569319,5,1121544,340459220,5,1011800,244507442,5,1007032,297397724
240,5,1056228,191811089,5,1125900,445169841,5,1018004,361548513,5,1009804,397823037
300,5,1059264,184528541,5,1128540,560663693,5,1019852,503648079,5,1012840,534624964
360,5,1060980,202147514,5,1130256,672281506,5,1021964,569663046,5,1014952,662944253
420,5,1063752,321747679,5,1132764,789275827,5,1025264,641535830,5,1017064,723005903
480,5,1064676,320514473,5,1134348,914490616,5,1028168,755879055,5,1020232,839160467
540,5,1065732,353089647,5,1137252,1037973145,5,1029224,865322880,5,1021552,877885522
600,5,1065732,404458390,5,1140024,1128783836,5,1031732,955176547,5,1024324,1012507360
