timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1046380,386691728,5,1111448,425129760,5,1017368,679939715,5,1008944,289331036
60,5,1116076,94496305,5,1375580,230751002,5,1394360,283644443,5,1253276,211090431
120,5,1334668,549421193,5,1685912,1332645204,5,1636184,1451697899,5,1476752,1031931411
180,5,1376380,517465887,5,1734884,1353414366,5,1645952,1467969145,5,1479920,996519260
240,5,1426540,570945129,5,1743992,1341098139,5,1684892,1444832616,5,1507508,982081385
300,5,1430104,554448229,5,1774288,1399861856,5,1640936,1380389431,5,1529156,1027896951
360,5,1398556,560799899,5,1737988,1272760943,5,1686212,1394824252,5,1519388,1093741551
420,5,1433008,559455424,5,1761484,1399896868,5,1635788,1366674562,5,1577600,1063016228
480,5,1424824,500075839,5,1770616,1375526619,5,1703240,1439260286,5,1532456,1036543108
540,5,1428388,528566239,5,1753460,1338273411,5,1671428,1439243248,5,1566908,1038675314
600,5,1431952,509744149,5,1778936,1353500474,5,1686872,1438986440,5,1530344,983869138
