timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1101756,140314296,5,1110848,176333872,5,1122452,107420577,5,1135212,194589743
60,5,1109544,291515878,5,1118504,289418495,5,1126148,214637802,5,1143660,449630416
120,6,1121028,441603282,5,1121672,538088368,6,1145288,389765223,3,1118580,592781830
180,8,1151520,662329947,5,1125632,699092502,6,1150568,588688893,1,1092444,606931037
240,8,1160100,778287470,4,1111508,861485961,7,1170236,753363454,1,1093236,689362228
300,8,1165380,910388001,2,1089200,934939790,8,1184492,1001435384,2,1106040,796890245
360,8,1169472,1036541802,2,1089332,997180343,7,1177628,1158727810,3,1125576,983141689
420,8,1170528,1133521395,2,1089332,1097620243,6,1161920,1125122661,4,1144056,1274020071
480,9,1183464,1230588765,2,1091708,1228729956,6,1165088,1073474845,3,1134288,1462019534
540,9,1192044,1371692388,2,1096196,1306665511,7,1182644,1176288497,2,1119372,1444522640
600,9,1196268,1411416464,2,1094876,1387991476,8,1202576,1524003221,1,1104984,1380030331
