timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1200044,699910439,10,1180512,641224599,10,1219140,701121251,10,1190872,699445140
60,10,1200836,696391363,10,1183548,664233811,10,1219668,789735593,10,1187440,592441607
120,10,1202288,694941200,10,1185792,753083189,10,1216368,652780313,10,1190212,651325794
180,10,1205324,729143657,10,1185264,655038182,10,1217688,735517340,10,1192192,615850122
240,10,1204532,701042690,10,1190148,702990374,10,1219800,705361188,10,1191796,620717965
300,10,1206512,699534305,10,1189488,682002825,10,1222176,684552458,10,1191664,640118076
360,10,1208888,736454979,10,1188564,683420942,10,1219932,711215478,10,1191664,621639119
420,10,1210340,697538335,10,1190280,704148956,10,1222440,703538203,10,1193248,631964468
480,10,1208228,747758303,10,1188300,631551878,10,1224552,733237213,10,1193512,627466693
540,10,1207172,721127847,10,1188828,638754277,10,1222572,680410790,10,1193248,695541764
600,10,1209020,783150503,10,1189752,665313814,10,1222308,665381771,10,1191532,623105656
