timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1124324,1057757265,10,1120684,1345910018,10,1143284,1077340610,10,1125176,1311263105
60,10,1128548,1161175504,10,1125700,1266528802,10,1142624,1083293411,10,1124780,1261492693
120,10,1131584,1175678395,10,1123060,1252413045,10,1141436,1021830602,10,1126628,1360163831
180,10,1134752,1183594486,10,1121872,1229706841,10,1146056,1014343099,10,1128608,1306035585
240,10,1131320,1140137134,10,1127944,1246897794,10,1144604,1050581708,10,1124780,1293322450
300,10,1131980,1168115456,10,1121740,1249623785,10,1143812,1037633304,10,1130192,1301967574
360,10,1133300,1104914459,10,1124776,1254977420,10,1139588,1020625738,10,1131512,1369761429
420,10,1131980,1119416912,10,1121608,1287125292,10,1145792,1118625386,10,1132304,1300990607
480,10,1133564,1135357286,10,1126096,1244542385,10,1143812,1103898631,10,1129928,1350522386
540,10,1131848,1087501770,10,1121608,1265352020,10,1143020,1074337232,10,1130984,1391080732
600,10,1135940,1118039423,10,1125172,1311298899,10,1144076,1044554666,10,1133228,1275712861
