timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1107804,178325693,10,1097672,166674472,10,1090036,184556878,10,1095704,168234356
60,10,1115988,335508835,10,1107176,349059326,10,1099408,347191820,10,1107056,336305515
120,10,1119684,489715800,10,1112984,517650373,10,1105084,551784425,10,1110752,435534281
180,10,1126020,679923133,10,1117736,649310604,10,1107592,610274272,10,1114448,662688618
240,10,1128792,805051771,10,1122488,766380261,10,1112872,831158768,10,1117220,726407109
300,10,1133016,897861679,10,1122884,889955863,10,1118680,1004198663,10,1121708,868960405
360,10,1137108,1047553134,10,1128956,995959007,10,1122640,1110532332,10,1123688,938872589
420,10,1141332,1107936323,10,1129088,1133398084,10,1124884,1212668094,10,1129364,1125894639
480,10,1145952,1326901124,10,1133180,1295663373,10,1129768,1256437852,10,1130156,1125677550
540,10,1147536,1386927765,10,1136084,1331762968,10,1132276,1465119984,10,1136624,1222737125
600,10,1149120,1459571008,10,1143872,1468002292,10,1133596,1463716801,10,1133456,1277015224
