timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1521720,1053139869,5,1526664,1104194638,5,1567428,1227736570,5,1534972,1062572016
60,5,1542972,1055341370,5,1537092,1079259014,5,1645176,1301725914,5,1500520,965656372
120,5,1584024,1061935092,5,1526664,1101448152,5,1655868,1161480838,5,1539856,1125375709
180,5,1604088,1085312495,5,1523892,1063445691,5,1637256,1195446510,5,1479532,1062178656
240,5,1566072,1031683556,5,1567320,1084915222,5,1671576,1238910109,5,1457092,1026040842
300,5,1589964,1026610814,5,1559400,1064035945,5,1639764,1225578477,5,1538008,1049491672
360,5,1607124,1072325445,5,1536564,1147382309,5,1642800,1177341345,5,1486264,1007946035
420,5,1555908,1012802960,5,1583688,1111912348,5,1675008,1266930886,5,1518208,1008311476
480,5,1573728,1012196989,5,1579464,1100108513,5,1631580,1217451086,5,1536028,1086935818
540,5,1604352,998424505,5,1566528,1146578917,5,1615344,1168684991,5,1539988,1080510787
600,5,1586136,1064646256,5,1554780,1094877513,5,1651644,1168120648,5,1563616,1061300808
