timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1103144,86723712,5,1110684,106645623,5,1096688,77168301,5,1120304,138991947
60,5,1163600,169350894,5,1185528,186249856,5,1133252,117687848,5,1199372,275601148
120,5,1216532,260432686,5,1250472,310662656,5,1193972,184304565,5,1240820,302906504
180,5,1258904,288552559,5,1295088,378144058,5,1231856,214344792,5,1299956,478940255
240,5,1283720,362142764,5,1339572,482771966,5,1263800,261697103,5,1315268,514778119
300,5,1313156,410373627,5,1360824,570972508,5,1309472,305263128,5,1350512,632208187
360,5,1375064,471832903,5,1378380,689299685,5,1324652,402504140,5,1368596,665023659
420,5,1385360,551863704,5,1418904,637264148,5,1374020,495025603,5,1408592,809564763
480,5,1416908,594028574,5,1445436,768623201,5,1370852,519611436,5,1432616,886851352
540,5,1439084,675644289,5,1465764,819405867,5,1400024,560860675,5,1452020,977792974
600,5,1431164,738752197,5,1493484,937932038,5,1423916,616427819,5,1472084,967896641
