timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1078892,211826892,5,1094892,237880306,5,1088464,304520015,5,1082472,213620227
60,5,1083644,406837792,5,1099380,397986373,5,1092952,458268479,5,1086036,371879399
120,6,1103708,561502068,6,1111788,600106582,3,1071172,599522349,5,1089732,521053927
180,7,1119416,779014044,5,1103868,708676187,3,1073812,689089493,5,1091712,618782643
240,6,1108724,856941790,5,1105980,814454046,3,1075264,862666784,6,1110588,852674104
300,6,1113608,941455133,5,1110600,943796695,3,1078696,1019847973,6,1114284,972137222
360,6,1115060,1111084810,5,1113240,1023100275,3,1081072,1151174543,6,1117188,1079795573
420,6,1115192,1152671614,5,1113504,1101045219,3,1083844,1243548676,6,1120488,1234510874
480,6,1119680,1236090106,5,1114692,1218683075,3,1088596,1434893820,6,1121940,1280432633
540,6,1120736,1378667930,5,1118784,1323818716,3,1087540,1475464184,6,1125636,1300294567
600,6,1124696,1420454589,5,1123008,1476584365,3,1090972,1471762155,6,1128012,1451519244
