timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1356080,520744825,5,1385044,746235450,5,1310892,452277843,5,1417500,820743013
60,5,1369940,548154018,5,1383328,640624580,5,1342176,504859522,5,1479936,811058413
120,5,1397396,541897061,5,1409464,721954878,6,1443816,554291560,4,1351764,741310123
180,5,1421420,611738271,5,1429396,700232881,6,1457544,624282938,4,1372092,644650191
240,5,1417196,559731251,5,1420024,695275194,6,1534236,671543623,4,1358100,633876829
300,5,1420892,534844738,5,1444180,695374395,5,1369500,602368564,5,1477296,739344480
360,5,1391852,523189610,5,1448008,737225654,5,1384416,405586816,5,1526664,901843540
420,5,1412312,568435172,5,1457908,718050512,6,1485528,539039333,4,1369716,742168073
480,5,1430660,557101175,5,1461076,683681400,6,1519320,657485899,4,1388592,636122504
540,5,1433168,562140210,5,1471900,704230089,6,1526052,645111987,4,1388856,627816552
600,5,1417724,519175450,5,1468732,712892448,6,1531992,653783374,4,1392288,655512829
