timestamp,ppgcc-m02,ppgcc-m02 pod amount,ppgcc-m03,ppgcc-m03 pod amount,ppgcc-m04,ppgcc-m04 pod amount,ppgcc-m05,ppgcc-m05 pod amount
0,1051712,5,1113868,5,1114772,5,1099604,5
60,1408904,5,1356748,5,1305776,5,1475328,5
120,1430288,5,1440172,5,1366628,5,1479420,5
180,1482296,5,1462084,5,1365836,5,1506876,5
240,1486644,5,1453372,5,1398316,5,1540640,5
300,1461432,5,1474564,5,1407424,5,1521376,5
360,1522416,5,1508356,5,1410988,5,1516624,5
420,1521888,5,1460836,5,1414816,5,1543684,5
480,1510272,5,1492780,5,1421680,5,1552924,5
540,1504464,5,1496332,5,1441348,5,1539988,5
600,1494388,5,1507684,5,1441480,5,1567840,5
660,1525012,5,1509796,5,1443196,5,1591468,5
720,1501252,5,1529728,5,1444952,5,1496692,5
780,1538872,5,1502404,5,1444688,5,1527448,5
840,1490560,5,1540156,5,1453532,5,1567312,5
900,1521712,5,1517848,5,1458284,5,1541176,5
960,1525408,5,1551640,5,1451024,5,1539328,5
1020,1514584,5,1536196,5,1478216,5,1546192,5
1080,1500856,5,1483924,5,1428980,5,1574044,5
1140,1527784,5,1525504,5,1460180,5,1539196,5
1200,1521776,5,1526560,5,1452260,5,1540208,5
1260,1487588,5,1542136,5,1452260,5,1580996,5
1320,1501052,5,1551640,5,1468232,5,1531496,5
1380,1516496,5,1503856,5,1469948,5,1549976,5
1440,1479404,5,1515208,5,1437872,5,1551164,5
1500,1491848,5,1533028,5,1456088,5,1557764,5
1560,1510796,5,1536724,5,1452524,5,1568560,5
1620,1488164,5,1537120,5,1461896,5,1578328,5
1680,1528160,5,1525900,5,1458332,5,1555756,5
1740,1510208,5,1534744,5,1463348,5,1530148,5
1800,1500572,5,1522336,5,1433120,5,1556680,5
