timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1034512,107126219,5,1002208,104484308,5,1006736,106823285,5,998436,108223550
60,5,1077148,73403012,5,1040224,82404271,5,1045676,69177386,5,1025364,65277568
120,5,1183144,275944669,5,1133944,332012446,5,1133852,367267077,5,1148124,385418639
180,5,1267888,450851386,5,1192816,482576519,5,1223216,484549627,5,1256496,616713663
240,5,1298512,701298611,5,1278004,713578899,5,1273640,704677248,5,1264548,699915841
300,6,1363588,837491706,5,1325652,884126211,4,1318124,842567900,5,1306788,800355940
360,5,1420876,978894907,5,1380432,977649817,5,1387160,976465286,5,1361436,965234097
420,5,1431304,1020800819,5,1457520,1123061821,5,1492232,1138849490,5,1422816,1109711403
480,5,1505752,1013166668,5,1521804,1351100914,5,1477844,1235644318,5,1495944,1260557814
540,5,1584424,1258779960,5,1549260,1362368126,5,1478900,1234979053,5,1472580,1331709772
600,5,1505752,1347280094,5,1665156,1591435974,5,1527128,1296384244,5,1535676,1469433185
