timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1136100,207480025,10,1131516,187651565,10,1143376,183511508,10,1154492,183109686
60,10,1140060,49046233,10,1134684,44636479,10,1147732,44945710,10,1194224,588031499
120,10,1180584,778527882,11,1167288,667881952,10,1185484,709935395,9,1194224,588031499
180,9,1183752,859237100,10,1187748,793599140,11,1183372,807091807,10,1184848,786475380
240,11,1169496,777434139,9,1178112,773169532,10,1199876,863333675,10,1196860,862413967
300,10,1192200,811006031,10,1162712,766722895,10,1189844,904155926,10,1198972,844961568
360,10,1184676,823753344,10,1173800,867073903,10,1191432,810481587,10,1202272,783823989
420,10,1186456,819003740,11,1173668,824849321,9,1188948,799408397,10,1199708,916320516
480,12,1186456,847081141,10,1187528,813286491,9,1179576,804620343,9,1204856,815876522
540,11,1206520,826017293,11,1177224,825647265,9,1177888,740134237,9,1193636,860421380
600,10,1196752,805005804,10,1190952,839178586,10,1179604,838294532,10,1188076,774927917
