timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1133856,173655595,10,1141048,190250292,10,1133668,162149494,10,1142336,186340801
60,10,1497252,561711751,10,1522660,572868887,10,1460896,507536848,10,1478672,435024053
120,10,1424124,769563104,10,1483324,717898360,10,1494912,824570434,10,1506128,757499236
180,10,1462568,779284246,10,1466212,722891182,10,1457952,885842389,10,1523684,785106141
240,10,1443884,774721913,10,1446788,729718346,10,1518672,807578690,10,1466264,789050180
300,10,1434644,746176794,10,1446092,812108278,10,1482768,801977698,10,1528568,799244742
360,10,1540540,798542870,10,1474772,726276540,10,1540056,781487109,10,1503412,741271287
420,10,1499884,768193815,10,1472000,728901926,10,1530432,926930657,10,1507900,689689201
480,10,1531828,796505146,10,1564400,788728312,10,1500984,867952838,10,1487588,625773256
540,10,1434412,863685863,10,1536944,822796970,10,1390500,763713860,10,1521512,772081719
600,10,1478236,748288055,10,1487708,874370716,10,1408300,719466285,10,1568108,883399490
